metro_title,primary_state,region,business_key,business_type,business_feasibility_score,business_feasibility_rank,feasibility_band,entry_strategy,strategy_guidance,market_strength_probability,category_fit_score,whitespace_opportunity_score,momentum_score,recommendation_summary,strength_1,strength_2,strength_3,risk_1,risk_2,recent_unemployment_change,population,median_income,unemployment_rate
"San Jose-Sunnyvale-Santa Clara, CA",CA,West,restaurant,Restaurant / Food Service,75.92095842520821,4,High,White-Space Opportunity,Strong overall market with room for category expansion.,1.0,0.19736528084027405,72.69285222287913,51.99999999999999,"White-Space Opportunity: strongest signals are affluent demand and payroll efficiency, while the main watchout is category demand footprint.",Affluent demand,Payroll efficiency,Low unemployment,Category demand footprint,Business density,0.6000000000000001,1995484,164801,4.2
"Virginia Beach-Chesapeake-Norfolk, VA-NC",VA,South,restaurant,Restaurant / Food Service,13.781815848389686,223,Medium,Selective Expansion Bet,"Worth evaluating carefully, but not a top-priority entry market.",0.06525198938992043,0.30713921970317526,23.982860861382136,67.99999999999999,"Selective Expansion Bet: strongest signals are low unemployment and recent labor momentum, while the main watchout is payroll efficiency.",Low unemployment,Recent labor momentum,Economic diversity,Payroll efficiency,Business density,0.20000000000000018,1796689,82402,3.1
"Jacksonville, FL",FL,South,restaurant,Restaurant / Food Service,53.43342643035472,75,High,White-Space Opportunity,Strong overall market with room for category expansion.,0.6642857142857143,0.23111421434515744,52.21561104596674,60.0,"White-Space Opportunity: strongest signals are low unemployment and recent labor momentum, while the main watchout is payroll efficiency.",Low unemployment,Recent labor momentum,Economic diversity,Payroll efficiency,Category demand footprint,0.3999999999999999,1760548,82053,3.5
"Providence-Warwick, RI-MA",RI,Northeast,restaurant,Restaurant / Food Service,13.513906730250858,227,Medium,Selective Expansion Bet,"Worth evaluating carefully, but not a top-priority entry market.",0.06525198938992043,0.2982089157652143,16.75264255314466,32.0,"Selective Expansion Bet: strongest signals are low unemployment and economic diversity, while the main watchout is payroll efficiency.",Low unemployment,Economic diversity,Category location density,Payroll efficiency,Category demand footprint,1.1,1700901,82870,4.5
"Milwaukee-Waukesha, WI",WI,Midwest,restaurant,Restaurant / Food Service,58.351028803495296,58,High,White-Space Opportunity,Strong overall market with room for category expansion.,0.7524823908041937,0.18924204824005825,60.39862120689833,67.99999999999999,"White-Space Opportunity: strongest signals are low unemployment and economic diversity, while the main watchout is category demand footprint.",Low unemployment,Economic diversity,Recent labor momentum,Category demand footprint,Affluent demand,0.20000000000000018,1574452,77919,3.2
"Raleigh-Cary, NC",NC,South,restaurant,Restaurant / Food Service,70.17797087118957,22,High,White-Space Opportunity,Strong overall market with room for category expansion.,0.9079308182856936,0.2207604530397011,68.14436034870737,71.99999999999999,"White-Space Opportunity: strongest signals are low unemployment and recent labor momentum, while the main watchout is category demand footprint.",Low unemployment,Recent labor momentum,Economic diversity,Category demand footprint,Category location density,0.10000000000000009,1562009,102144,3.1
"Oklahoma City, OK",OK,South,restaurant,Restaurant / Food Service,57.57444004047903,62,High,White-Space Opportunity,Strong overall market with room for category expansion.,0.7061540857084031,0.27145513469636084,55.941620502863664,71.99999999999999,"White-Space Opportunity: strongest signals are low unemployment and recent labor momentum, while the main watchout is payroll efficiency.",Low unemployment,Recent labor momentum,Economic diversity,Payroll efficiency,Affluent demand,0.10000000000000009,1497821,72930,3.1
"Louisville/Jefferson County, KY-IN",KY,South,restaurant,Restaurant / Food Service,53.95546416347494,71,High,White-Space Opportunity,Strong overall market with room for category expansion.,0.6949901795318076,0.17687171987494704,53.17069029981834,47.99999999999999,"White-Space Opportunity: strongest signals are low unemployment and economic diversity, while the main watchout is category demand footprint.",Low unemployment,Economic diversity,Recent labor momentum,Category demand footprint,Payroll efficiency,0.7000000000000002,1396762,74305,4.5
"Richmond, VA",VA,South,restaurant,Restaurant / Food Service,57.71189953908643,61,High,White-Space Opportunity,Strong overall market with room for category expansion.,0.7438319759381662,0.18812204078049327,60.11171254068036,67.99999999999999,"White-Space Opportunity: strongest signals are low unemployment and recent labor momentum, while the main watchout is category demand footprint.",Low unemployment,Recent labor momentum,Economic diversity,Category demand footprint,Payroll efficiency,0.20000000000000018,1368219,83460,3.0
"Memphis, TN-MS-AR",TN,South,restaurant,Restaurant / Food Service,10.60910891959404,274,Low,Selective Expansion Bet,"Worth evaluating carefully, but not a top-priority entry market.",0.06525198938992043,0.20138232207665366,25.0474429490697,64.0,"Selective Expansion Bet: strongest signals are low unemployment and economic diversity, while the main watchout is affluent demand.",Low unemployment,Economic diversity,Recent labor momentum,Affluent demand,Category demand footprint,0.2999999999999998,1337653,68124,4.1
"Salt Lake City-Murray, UT",UT,West,restaurant,Restaurant / Food Service,71.95484251407377,16,High,White-Space Opportunity,Strong overall market with room for category expansion.,0.96,0.15849475046912595,70.25766555279185,55.99999999999999,"White-Space Opportunity: strongest signals are low unemployment and economic diversity, while the main watchout is category demand footprint.",Low unemployment,Economic diversity,Recent labor momentum,Category demand footprint,Category location density,0.5,1300762,100548,3.2
"Birmingham, AL",AL,South,restaurant,Restaurant / Food Service,53.16024769677489,77,High,White-Space Opportunity,Strong overall market with room for category expansion.,0.6847402597402598,0.17428098383189036,54.175181030520314,51.99999999999999,"White-Space Opportunity: strongest signals are low unemployment and economic diversity, while the main watchout is category demand footprint.",Low unemployment,Economic diversity,Recent labor momentum,Category demand footprint,Affluent demand,0.6000000000000001,1192583,74954,2.9
"Fresno, CA",CA,West,restaurant,Restaurant / Food Service,5.730634567516681,363,Low,Selective Expansion Bet,"Worth evaluating carefully, but not a top-priority entry market.",0.0,0.19102115225055602,18.588385906139635,55.99999999999999,"Selective Expansion Bet: strongest signals are low unemployment and economic diversity, while the main watchout is category location density.",Low unemployment,Economic diversity,Recent labor momentum,Category location density,Payroll efficiency,0.5,1189557,74983,7.9
"Grand Rapids-Wyoming-Kentwood, MI",MI,Midwest,restaurant,Restaurant / Food Service,13.572263206945864,226,Medium,Selective Expansion Bet,"Worth evaluating carefully, but not a top-priority entry market.",0.13497295469912102,0.13747187926691312,27.577965615612044,51.99999999999999,"Selective Expansion Bet: strongest signals are low unemployment and economic diversity, while the main watchout is category demand footprint.",Low unemployment,Economic diversity,Recent labor momentum,Category demand footprint,Payroll efficiency,0.6000000000000001,1178826,81541,4.0
"Hartford-West Hartford-East Hartford, CT",CT,Northeast,restaurant,Restaurant / Food Service,53.884115910236716,72,High,White-Space Opportunity,Strong overall market with room for category expansion.,0.6866505420967567,0.1939525987821254,58.75329873055817,75.99999999999999,"White-Space Opportunity: strongest signals are low unemployment and recent labor momentum, while the main watchout is category demand footprint.",Low unemployment,Recent labor momentum,Economic diversity,Category demand footprint,Payroll efficiency,0.0,1169048,94419,3.2
"Buffalo-Cheektowaga, NY",NY,Northeast,restaurant,Restaurant / Food Service,12.124442960412713,249,Low,Selective Expansion Bet,"Worth evaluating carefully, but not a top-priority entry market.",0.06525198938992043,0.2518934567706095,24.10966260179969,64.0,"Selective Expansion Bet: strongest signals are low unemployment and recent labor momentum, while the main watchout is payroll efficiency.",Low unemployment,Recent labor momentum,Economic diversity,Payroll efficiency,Affluent demand,0.2999999999999998,1160172,72300,3.9
"Tucson, AZ",AZ,West,restaurant,Restaurant / Food Service,7.620801910165381,323,Low,Selective Expansion Bet,"Worth evaluating carefully, but not a top-priority entry market.",0.0,0.25402673033884604,23.091355146987574,75.99999999999999,"Selective Expansion Bet: strongest signals are low unemployment and recent labor momentum, while the main watchout is payroll efficiency.",Low unemployment,Recent labor momentum,Economic diversity,Payroll efficiency,Category location density,0.0,1080149,72067,3.6
"Tulsa, OK",OK,South,restaurant,Restaurant / Food Service,46.55808924543191,104,High,Momentum Market,Healthy metro fundamentals with improving labor-market momentum.,0.5680912042853106,0.22639016484867241,51.241433894969305,72.0,"Momentum Market: strongest signals are low unemployment and economic diversity, while the main watchout is affluent demand.",Low unemployment,Economic diversity,Recent labor momentum,Affluent demand,Payroll efficiency,0.09999999999999964,1060423,69658,3.3
"Rochester, NY",NY,Northeast,restaurant,Restaurant / Food Service,10.217608962091902,279,Low,Selective Expansion Bet,"Worth evaluating carefully, but not a top-priority entry market.",0.06525198938992043,0.1883323234932491,26.388264699753066,67.99999999999999,"Selective Expansion Bet: strongest signals are low unemployment and economic diversity, while the main watchout is category demand footprint.",Low unemployment,Economic diversity,Recent labor momentum,Category demand footprint,Payroll efficiency,0.20000000000000018,1057218,76453,3.6
"Omaha, NE-IA",NE,Midwest,restaurant,Restaurant / Food Service,70.35187489309817,20,High,White-Space Opportunity,Strong overall market with room for category expansion.,0.9142857142857143,0.2117291631032725,65.34241991733316,55.99999999999999,"White-Space Opportunity: strongest signals are low unemployment and economic diversity, while the main watchout is category demand footprint.",Low unemployment,Economic diversity,Recent labor momentum,Category demand footprint,Payroll efficiency,0.5,1001186,84524,3.0
"Urban Honolulu, HI",HI,West,restaurant,Restaurant / Food Service,12.230325442223675,246,Low,Niche Cluster Bet,"Specialized category strength exists, but broader market support is thinner.",0.0,0.40767751474078917,20.30944535842572,71.99999999999999,"Niche Cluster Bet: strongest signals are low unemployment and recent labor momentum, while the main watchout is payroll efficiency.",Low unemployment,Recent labor momentum,Economic diversity,Payroll efficiency,Business density,0.10000000000000009,998747,105205,2.7
"Greenville-Anderson-Greer, SC",SC,South,restaurant,Restaurant / Food Service,18.228653095679228,181,Medium,Selective Expansion Bet,"Worth evaluating carefully, but not a top-priority entry market.",0.15957719494380349,0.2352749816537662,22.281494857425315,32.000000000000014,"Selective Expansion Bet: strongest signals are low unemployment and economic diversity, while the main watchout is payroll efficiency.",Low unemployment,Economic diversity,Recent labor momentum,Payroll efficiency,Category demand footprint,1.0999999999999996,996680,75881,3.8
"Bridgeport-Stamford-Danbury, CT",CT,Northeast,restaurant,Restaurant / Food Service,73.01104899365527,12,High,White-Space Opportunity,Strong overall market with room for category expansion.,0.9456381623769406,0.22721258757564722,71.17249692068224,75.99999999999999,"White-Space Opportunity: strongest signals are low unemployment and recent labor momentum, while the main watchout is category demand footprint.",Low unemployment,Recent labor momentum,Economic diversity,Category demand footprint,Business density,0.0,972679,116402,3.1
"New Orleans-Metairie, LA",LA,South,restaurant,Restaurant / Food Service,19.582716023794706,175,Medium,Niche Cluster Bet,"Specialized category strength exists, but broader market support is thinner.",0.09025198938992043,0.4421692255500093,20.44714841894747,55.99999999999997,"Niche Cluster Bet: strongest signals are low unemployment and economic diversity, while the main watchout is affluent demand.",Low unemployment,Economic diversity,Category location density,Affluent demand,Payroll efficiency,0.5000000000000004,966230,62373,4.4
"Knoxville, TN",TN,South,restaurant,Restaurant / Food Service,13.438916301859061,230,Medium,Selective Expansion Bet,"Worth evaluating carefully, but not a top-priority entry market.",0.10691865605658708,0.19848701259659882,28.202843902051647,67.99999999999999,"Selective Expansion Bet: strongest signals are low unemployment and recent labor momentum, while the main watchout is payroll efficiency.",Low unemployment,Recent labor momentum,Economic diversity,Payroll efficiency,Category location density,0.20000000000000018,957376,74184,3.2
"North Port-Bradenton-Sarasota, FL",FL,South,restaurant,Restaurant / Food Service,14.206539498900561,215,Medium,Selective Expansion Bet,"Worth evaluating carefully, but not a top-priority entry market.",0.09025198938992043,0.26296334138687105,23.26135008524236,55.99999999999999,"Selective Expansion Bet: strongest signals are low unemployment and recent labor momentum, while the main watchout is payroll efficiency.",Low unemployment,Recent labor momentum,Economic diversity,Payroll efficiency,Category location density,0.5,934956,82106,3.6
"Albuquerque, NM",NM,West,restaurant,Restaurant / Food Service,13.409527900859846,232,Medium,Selective Expansion Bet,"Worth evaluating carefully, but not a top-priority entry market.",0.07814072414916942,0.26465590701393293,22.710722634378378,55.99999999999999,"Selective Expansion Bet: strongest signals are low unemployment and economic diversity, while the main watchout is payroll efficiency.",Low unemployment,Economic diversity,Recent labor momentum,Payroll efficiency,Affluent demand,0.5,929919,76097,3.9
"Bakersfield-Delano, CA",CA,West,restaurant,Restaurant / Food Service,6.2379412224585655,358,Low,Selective Expansion Bet,"Worth evaluating carefully, but not a top-priority entry market.",0.0,0.2079313740819522,19.094252005346636,59.99999999999998,"Selective Expansion Bet: strongest signals are economic diversity and recent labor momentum, while the main watchout is business density.",Economic diversity,Recent labor momentum,Low unemployment,Business density,Category location density,0.40000000000000036,922529,71596,8.6
"McAllen-Edinburg-Mission, TX",TX,South,restaurant,Restaurant / Food Service,4.92119929600918,374,Low,Selective Expansion Bet,"Worth evaluating carefully, but not a top-priority entry market.",0.0,0.16403997653363936,23.969888977020567,79.99999999999997,"Selective Expansion Bet: strongest signals are recent labor momentum and low unemployment, while the main watchout is payroll efficiency.",Recent labor momentum,Low unemployment,Economic diversity,Payroll efficiency,Affluent demand,-0.09999999999999964,914820,56720,6.0
